,abs standard deviation,district type,jurisdiction,max abs difference,mean abs difference,mean blocks per dist,mean pop per dist 2010,num of districts,state
33,0.312565211736071,Comm. Court,Karnes Comm Ct,0.8849557522123894,0.4478387660902,377.0,2890.0,4.0,TX
34,0.44742291151504626,Comm. Court,Kleberg Comm Ct,1.4126765845730715,0.8015651116492369,0.0,8015.25,4.0,TX
35,0.35822395009321784,Comm Ct/Cons/JP,Moore Comm Ct/Cons/JP,1.0435737824972537,0.6690439003850434,480.5,5476.0,4.0,TX
36,0.9264058172930209,School District,Daingerfield-Lone Star ISD,2.8901734104046244,1.2982328637283909,128.6,1702.8,5.0,TX
37,0.7805556463565835,City,Sweetwater,2.04828090709583,0.8752210527133367,196.5,2726.5,4.0,TX
38,0.5152084636399744,Comm. Court,Ochiltree Comm Ct,1.9238319591676483,1.2035797533127244,224.0,2555.75,4.0,TX
39,0.9491419630909163,Hospital,Reagan Hospital Dist,3.587962962962963,2.0068157406942078,295.75,841.75,4.0,TX
40,2.8057936511150845,School District,Sterling ISD,9.210526315789473,4.9079178000925126,200.0,228.6,5.0,TX
41,0.576354078518546,School District,Sonora IDS,2.3032629558541267,1.703629585785494,306.0,1032.0,4.0,TX
42,1.1636196253172677,City,Tulia City,3.2169117647058822,2.1345360984986033,65.25,1090.0,4.0,TX
43,1.097842614237238,Comm Ct/Cons/JP,Terry Comm Ct/Cons/JP,3.3367381681988424,2.02146814278525,572.0,2946.25,4.0,TX
44,0.0,Comm Ct/Cons/JP,Titus Comm Ct/Cons/JP,0.14884644008930786,0.14884644008930786,832.0,8062.0,1.0,TX
45,3.2769963722583193,Comm Ct/Cons/JP,Upton Comm Ct/Cons/JP,8.92018779342723,5.362135486702892,526.5,838.75,4.0,TX
46,0.6024707212013234,City,Wharton City,1.724941724941725,0.7926506713927999,141.0,2208.0,4.0,TX
