,map,local_id,state,dist_type,tot,totDP,totVAP,totVAPDP,HVAP,HVAPDP,NHbla_alo_VAP,NHBVAP_aloDP,pNHWVAP,pNHBVAP,pHVAP,rHVAP,rNHBVAP
0,AZ Gila Globe,1.0,AZ,City,1283.0,1259.0,1026.0,1013.0,292.0,279.0,30.0,21.0,63.547758284600384,2.923976608187134,28.460038986354775,-1.267056530214425,-0.8771929824561403
5,AZ Gila Globe,6.0,AZ,City,1278.0,1290.0,915.0,908.0,266.0,282.0,3.0,1.0,66.77595628415301,0.32786885245901637,29.071038251366122,1.7486338797814207,-0.2185792349726776
2,CA Riverdale S.D.,2.0,CA,School District,1138.0,1154.0,739.0,750.0,381.0,371.0,7.0,11.0,43.16644113667118,0.9472259810554804,51.55615696887686,-1.3531799729364005,0.5412719891745602
3,CA Riverdale S.D.,3.0,CA,School District,1155.0,1188.0,730.0,753.0,445.0,460.0,7.0,4.0,35.06849315068493,0.9589041095890412,60.95890410958904,2.054794520547945,-0.410958904109589
4,CA Riverdale S.D.,4.0,CA,School District,1107.0,1137.0,753.0,774.0,445.0,457.0,3.0,0.0,38.51261620185923,0.398406374501992,59.09694555112882,1.593625498007968,-0.398406374501992
5,CA Riverdale S.D.,5.0,CA,School District,1097.0,1142.0,693.0,710.0,572.0,556.0,0.0,2.0,14.43001443001443,0.0,82.53968253968253,-2.3088023088023086,0.2886002886002886
6,CA Riverdale S.D.,6.0,CA,School District,1127.0,1144.0,739.0,767.0,574.0,604.0,42.0,47.0,15.020297699594046,5.683355886332882,77.67253044654939,4.059539918809202,0.6765899864682002
7,CA Riverdale S.D.,7.0,CA,School District,1114.0,1084.0,690.0,675.0,640.0,631.0,0.0,3.0,4.9275362318840585,0.0,92.7536231884058,-1.3043478260869565,0.43478260869565216
0,FL Hendry Comm,1.0,FL,County Comm,7278.0,7194.0,5063.0,5002.0,1980.0,1920.0,2254.0,2278.0,14.754098360655737,44.519059845941136,39.10724866679834,-1.1850681414181317,0.47402725656725264
1,FL Hendry Comm,2.0,FL,County Comm,8014.0,8091.0,5836.0,5906.0,2634.0,2696.0,200.0,205.0,49.86291980808773,3.427004797806717,45.13365318711446,1.0623714873200822,0.08567511994516792
2,FL Hendry Comm,3.0,FL,County Comm,7722.0,7627.0,5573.0,5509.0,2886.0,2829.0,210.0,206.0,43.603086308989774,3.768167952628746,51.785393863269334,-1.0227884442849453,-0.07177462766911898
3,FL Hendry Comm,4.0,FL,County Comm,8063.0,8134.0,5732.0,5800.0,2717.0,2832.0,280.0,264.0,44.57431960921144,4.884856943475227,47.400558269364964,2.0062805303558964,-0.2791346824842987
0,SD Shannon Comm,1.0,SD,County Comm,2618.0,2652.0,1590.0,1631.0,26.0,45.0,0.0,0.0,3.7735849056603774,0.0,1.6352201257861636,1.1949685534591197,0.0
1,Lytle,2.0,TX,City,513.0,525.0,374.0,389.0,238.0,251.0,0.0,0.0,33.9572192513369,0.0,63.63636363636363,3.4759358288770055,0.0
2,Lytle,3.0,TX,City,497.0,497.0,371.0,364.0,247.0,240.0,0.0,3.0,32.075471698113205,0.0,66.57681940700809,-1.8867924528301887,0.8086253369272237
2,Karnes City ISD,2.0,TX,School District,594.0,587.0,394.0,398.0,241.0,249.0,15.0,10.0,34.77157360406091,3.807106598984772,61.16751269035533,2.030456852791878,-1.2690355329949239
3,Karnes City ISD,3.0,TX,School District,626.0,657.0,445.0,473.0,293.0,321.0,14.0,28.0,30.337078651685395,3.146067415730337,65.84269662921348,6.292134831460674,3.146067415730337
5,Karnes City ISD,5.0,TX,School District,615.0,693.0,506.0,560.0,136.0,159.0,6.0,1.0,71.54150197628458,1.185770750988142,26.877470355731226,4.545454545454546,-0.9881422924901186
7,Karnes City ISD,7.0,TX,School District,603.0,554.0,450.0,418.0,129.0,107.0,4.0,4.0,70.0,0.8888888888888888,28.666666666666668,-4.888888888888889,0.0
5,Floresville ISD,6.0,TX,School District,3048.0,3012.0,2241.0,2216.0,1252.0,1226.0,63.0,63.0,39.937527889335115,2.8112449799196786,55.86791610887997,-1.1601963409192326,0.0
6,Floresville ISD,7.0,TX,School District,3146.0,3081.0,2330.0,2281.0,809.0,774.0,26.0,31.0,62.66094420600859,1.1158798283261802,34.72103004291846,-1.502145922746781,0.2145922746781116
5,Alvin City,5.0,TX,City,4965.0,5077.0,3707.0,3765.0,877.0,923.0,53.0,61.0,73.4016725114648,1.4297275424871863,23.657944429457782,1.240895602913407,0.21580793094146208
1,Brewster Comm Ct/Cons/JP,2.0,TX,Comm Ct/Cons/JP,1195.0,1207.0,984.0,986.0,200.0,185.0,4.0,4.0,76.52439024390245,0.40650406504065045,20.32520325203252,-1.524390243902439,0.0
2,Brewster Comm Ct/Cons/JP,3.0,TX,Comm Ct/Cons/JP,529.0,550.0,438.0,455.0,161.0,185.0,0.0,4.0,62.10045662100456,0.0,36.757990867579906,5.47945205479452,0.91324200913242
3,Caldwell Comm Ct/JP,4.0,TX,Comm Ct/JP,9559.0,9550.0,6757.0,6791.0,3413.0,3481.0,607.0,611.0,39.24818706526565,8.983276602042327,50.51058161906171,1.0063637709042474,0.05919786887672043
1,Lockhart ISD,1.0,TX,School District,5729.0,5695.0,4002.0,4005.0,2199.0,2251.0,339.0,334.0,35.15742128935532,8.470764617691154,54.94752623688156,1.299350324837581,-0.12493753123438281
0,Luling,1.0,TX,City,1087.0,1086.0,756.0,762.0,363.0,381.0,215.0,198.0,22.486772486772484,28.439153439153444,48.01587301587302,2.380952380952381,-2.2486772486772484
1,Luling,2.0,TX,City,1078.0,1056.0,751.0,748.0,461.0,434.0,35.0,42.0,33.68841544607191,4.660452729693742,61.38482023968043,-3.5952063914780292,0.9320905459387484
2,Luling,3.0,TX,City,1065.0,1021.0,795.0,751.0,350.0,328.0,33.0,30.0,49.685534591194966,4.150943396226415,44.0251572327044,-2.767295597484277,-0.37735849056603776
0,Dimmitt City,1.0,TX,City,799.0,803.0,492.0,488.0,416.0,424.0,15.0,7.0,11.788617886178862,3.048780487804878,84.5528455284553,1.6260162601626018,-1.6260162601626018
1,Dimmitt City,2.0,TX,City,801.0,771.0,533.0,530.0,276.0,267.0,4.0,3.0,46.52908067542214,0.7504690431519699,51.78236397748592,-1.6885553470919326,-0.18761726078799248
2,Dimmitt City,3.0,TX,City,781.0,809.0,532.0,557.0,411.0,433.0,16.0,26.0,16.541353383458645,3.007518796992481,77.25563909774436,4.135338345864661,1.8796992481203008
3,Dimmitt City,4.0,TX,City,783.0,786.0,536.0,536.0,463.0,453.0,4.0,13.0,12.5,0.7462686567164178,86.38059701492537,-1.8656716417910446,1.6791044776119404
4,Dimmitt City,5.0,TX,City,784.0,772.0,532.0,527.0,302.0,293.0,16.0,12.0,39.097744360902254,3.007518796992481,56.766917293233085,-1.6917293233082706,-0.7518796992481203
5,Dimmitt City,6.0,TX,City,784.0,765.0,548.0,533.0,201.0,188.0,9.0,9.0,61.31386861313869,1.6423357664233578,36.67883211678832,-2.3722627737226274,0.0
6,Dimmitt City,7.0,TX,City,786.0,784.0,583.0,583.0,142.0,150.0,9.0,5.0,72.72727272727273,1.5437392795883362,24.356775300171527,1.3722126929674099,-0.6861063464837049
1,Concho Comm Ct/Cons/JP,1.0,TX,Comm Ct/Cons/JP,634.0,671.0,495.0,506.0,91.0,68.0,2.0,0.0,79.7979797979798,0.40404040404040403,18.383838383838384,-4.646464646464646,-0.40404040404040403
4,Concho Comm Ct/Cons/JP,4.0,TX,Comm Ct/Cons/JP,615.0,658.0,462.0,496.0,87.0,110.0,1.0,2.0,80.08658008658008,0.21645021645021645,18.83116883116883,4.978354978354979,0.21645021645021645
1,Ralls ISD,2.0,TX,School District,470.0,501.0,341.0,358.0,202.0,221.0,3.0,5.0,37.82991202346041,0.8797653958944283,59.2375366568915,5.571847507331378,0.5865102639296188
2,Ralls ISD,3.0,TX,School District,463.0,434.0,309.0,297.0,126.0,113.0,3.0,4.0,57.60517799352751,0.9708737864077669,40.77669902912621,-4.207119741100324,0.3236245954692557
1,Dawson Comm Ct/Cons/JP,2.0,TX,Comm Ct/Cons/JP,2925.0,2952.0,2026.0,2030.0,1404.0,1373.0,53.0,73.0,27.344521224086872,2.6159921026653503,69.29911154985192,-1.5301085883514314,0.9871668311944718
2,Dawson Comm Ct/Cons/JP,3.0,TX,Comm Ct/Cons/JP,2947.0,2946.0,2138.0,2144.0,698.0,722.0,32.0,24.0,64.6398503274088,1.4967259120673526,32.647333956969135,1.1225444340505144,-0.37418147801683815
2,Spur,2.0,TX,City,329.0,310.0,237.0,219.0,113.0,107.0,8.0,13.0,46.835443037974684,3.375527426160337,47.67932489451477,-2.5316455696202533,2.109704641350211
3,Spur,3.0,TX,City,340.0,377.0,263.0,292.0,39.0,61.0,2.0,7.0,84.4106463878327,0.7604562737642585,14.82889733840304,8.365019011406844,1.9011406844106464
6,Plainview ISD,6.0,TX,School District,3771.0,3831.0,2491.0,2539.0,1791.0,1816.0,72.0,81.0,24.126856684062624,2.890405459654757,71.89883580891208,1.0036130068245683,0.3613006824568446
7,Plainview ISD,7.0,TX,School District,3983.0,3853.0,2635.0,2563.0,1552.0,1498.0,143.0,135.0,33.85199240986717,5.426944971537002,58.89943074003795,-2.049335863377609,-0.3036053130929791
4,Howard Comm Ct/Cons/JP,4.0,TX,Comm Ct/Cons/JP,7379.0,7210.0,5384.0,5293.0,1782.0,1722.0,152.0,146.0,62.12852897473997,2.823179791976226,33.09806835066865,-1.1144130757800892,-0.11144130757800891
2,Karnes Comm Ct,2.0,TX,Commissioners Court,2819.0,2802.0,2144.0,2127.0,517.0,488.0,17.0,25.0,74.48694029850746,0.792910447761194,24.113805970149254,-1.3526119402985073,0.3731343283582089
3,Karnes Comm Ct,3.0,TX,Commissioners Court,2823.0,2827.0,2056.0,2053.0,1055.0,1078.0,58.0,66.0,45.282101167315176,2.821011673151751,51.31322957198443,1.1186770428015564,0.38910505836575876
4,Karnes Comm Ct,4.0,TX,Commissioners Court,2825.0,2850.0,2052.0,2092.0,1314.0,1351.0,45.0,39.0,32.84600389863548,2.1929824561403506,64.03508771929825,1.8031189083820662,-0.29239766081871343
2,Kleberg Comm Ct,2.0,TX,Commissioners Court,2819.0,2802.0,2144.0,2127.0,517.0,488.0,17.0,25.0,74.48694029850746,0.792910447761194,24.113805970149254,-1.3526119402985073,0.3731343283582089
3,Kleberg Comm Ct,3.0,TX,Commissioners Court,2823.0,2827.0,2056.0,2053.0,1055.0,1078.0,58.0,66.0,45.282101167315176,2.821011673151751,51.31322957198443,1.1186770428015564,0.38910505836575876
4,Kleberg Comm Ct,4.0,TX,Commissioners Court,2825.0,2850.0,2052.0,2092.0,1314.0,1351.0,45.0,39.0,32.84600389863548,2.1929824561403506,64.03508771929825,1.8031189083820662,-0.29239766081871343
1,Daingerfield-Lone Star ISD,2.0,TX,School District,1688.0,1701.0,1270.0,1264.0,69.0,56.0,219.0,225.0,75.35433070866142,17.244094488188978,5.433070866141732,-1.0236220472440944,0.47244094488188976
0,Sweetwater,1.0,TX,City,2709.0,2709.0,1936.0,1926.0,510.0,473.0,66.0,62.0,69.26652892561982,3.4090909090909087,26.34297520661157,-1.9111570247933882,-0.2066115702479339
0,Reagan Hospital Dist,1.0,TX,Hospital,846.0,855.0,571.0,570.0,433.0,441.0,32.0,22.0,18.038528896672503,5.604203152364273,75.83187390542906,1.4010507880910683,-1.7513134851138354
1,Reagan Hospital Dist,2.0,TX,Hospital,864.0,833.0,615.0,595.0,251.0,230.0,13.0,7.0,56.422764227642276,2.113821138211382,40.8130081300813,-3.414634146341464,-0.975609756097561
3,Reagan Hospital Dist,4.0,TX,Hospital,805.0,818.0,568.0,568.0,318.0,310.0,3.0,9.0,42.07746478873239,0.528169014084507,55.98591549295775,-1.4084507042253522,1.056338028169014
0,Sterling ISD,1.0,TX,School District,228.0,207.0,171.0,156.0,96.0,86.0,3.0,0.0,40.35087719298245,1.7543859649122806,56.14035087719298,-5.847953216374268,-1.7543859649122806
2,Sterling ISD,3.0,TX,School District,231.0,229.0,179.0,170.0,40.0,35.0,0.0,0.0,77.09497206703911,0.0,22.3463687150838,-2.793296089385475,0.0
3,Sterling ISD,4.0,TX,School District,225.0,234.0,172.0,173.0,62.0,69.0,1.0,0.0,63.372093023255815,0.5813953488372093,36.04651162790697,4.069767441860465,-0.5813953488372093
0,Sonora IDS,1.0,TX,School District,997.0,978.0,738.0,717.0,528.0,503.0,2.0,0.0,28.184281842818425,0.27100271002710025,71.54471544715447,-3.387533875338753,-0.27100271002710025
1,Sonora IDS,2.0,TX,School District,1025.0,1006.0,732.0,737.0,339.0,357.0,2.0,1.0,52.18579234972678,0.273224043715847,46.31147540983606,2.459016393442623,-0.1366120218579235
3,Sonora IDS,4.0,TX,School District,1064.0,1072.0,755.0,763.0,565.0,574.0,0.0,0.0,24.90066225165563,0.0,74.83443708609272,1.1920529801324504,0.0
1,Tulia City,1.0,TX,City,1093.0,1091.0,814.0,808.0,246.0,257.0,15.0,13.0,66.58476658476658,1.8427518427518428,30.22113022113022,1.3513513513513513,-0.2457002457002457
3,Tulia City,3.0,TX,City,1088.0,1053.0,750.0,744.0,345.0,364.0,25.0,17.0,48.93333333333334,3.3333333333333335,46.0,2.533333333333333,-1.0666666666666667
4,Tulia City,4.0,TX,City,1095.0,1125.0,724.0,731.0,437.0,414.0,91.0,99.0,25.69060773480663,12.569060773480665,60.35911602209944,-3.1767955801104977,1.1049723756906076
