,abs standard deviation,district type,jurisdiction,max abs difference,max blocks per dist,max pop blocks per dist,max pop per dist 2010,mean abs difference,mean blocks per dist,mean difference,mean pop blocks per dist,mean pop per dist 2010,num of blocks,num of districts,num of pop blocks,pct blocks populated,standard deviation,state,stdev pop per dist 2010,total map pop 2010
0,0.4585788409893684,City,Cochise Bisbee,1.5167930660888407,155.0,125.0,1903.0,1.173640326931829,117.0,0.18787910020674667,81.66666666666667,1858.3333333333333,351.0,3.0,245.0,69.8005698005698,1.2459645316417742,AZ,32.62241901242491,5575.0
1,0.022196807418194582,County Comm,Gila Comm,0.10362097749122101,2056.0,674.0,18121.0,0.07870263034630348,1659.6666666666667,-0.009621978685489474,587.6666666666666,17865.666666666668,4979.0,3.0,1763.0,35.408716609761,0.08120480163859335,AZ,349.84313945284424,53597.0
2,1.2205897722057886,City,Gila Globe,3.7337662337662336,105.0,66.0,1283.0,1.514719041895052,76.16666666666667,0.18140128063459923,45.5,1255.3333333333333,457.0,6.0,273.0,59.73741794310722,1.9368290433791442,AZ,28.528737947706148,7532.0
3,0.1361576356906119,School District,Hanford Elem,0.6424706943192064,316.0,177.0,8936.0,0.5080732767911198,240.2,0.08941440290311391,135.2,8897.4,1201.0,5.0,676.0,56.28642797668609,0.5183458506630518,CA,23.01825362619849,44487.0
4,0.8528695178617262,School District,Riverdale S.D.,4.102096627164995,186.0,50.0,1155.0,2.486602444939956,93.85714285714286,1.1087322518456015,36.714285714285715,1123.5714285714287,657.0,7.0,257.0,39.117199391171994,2.38354587272753,CA,18.093859596615665,7865.0
5,0.5291438587343618,School District,Weaver S.D. (Merced County),1.460920379839299,164.0,76.0,3502.0,0.8774092867879777,59.0,-0.8774092867879777,33.2,2895.0,295.0,5.0,166.0,56.271186440677965,0.5291438587343618,CA,303.7314603395572,14475.0
6,0.2880629993483401,County Comm,Hendry Comm,1.2302512302512303,820.0,397.0,8063.0,0.927015103960667,513.4,-0.026750680802644665,234.0,7828.0,2567.0,5.0,1170.0,45.57849629918193,0.9703719367548521,FL,302.9131888842082,39140.0
7,0.2927807222940721,County Comm,Charles Mix Comm,1.185770750988142,712.0,379.0,3068.0,0.897356255767189,545.0,0.10684242177509418,298.0,3043.0,1635.0,3.0,894.0,54.67889908256881,0.9378451354145737,SD,18.239152027072603,9129.0
8,0.4874565990558494,County Comm,Shannon Comm,1.2987012987012987,634.0,129.0,2805.0,0.6351304650833,315.6,0.07059647273532843,103.4,2717.2,1578.0,5.0,517.0,32.762991128010135,0.7975091107174602,SD,70.93489973207829,13586.0
9,0.33698601285573476,County Comm,Todd Comm,0.8881922675026124,326.0,129.0,2016.0,0.47416717985451884,177.8,-0.055030815132949884,85.2,1922.4,889.0,5.0,426.0,47.91901012373454,0.5791076728013506,SD,52.18658831539,9612.0
10,1.430128573336442,City,Lytle,4.4921875,34.0,21.0,513.0,2.22911098264605,24.8,0.5034365319738333,15.2,498.4,124.0,5.0,76.0,61.29032258064516,2.6001452204637965,TX,15.9449051423958,2492.0
11,3.8852365702453397,School District,Karnes City ISD,12.682926829268293,178.0,73.0,627.0,4.896266759920975,95.28571428571429,0.9664814947075878,50.285714285714285,608.4285714285714,667.0,7.0,352.0,52.7736131934033,6.1753060581210555,TX,19.470542899886652,4259.0
12,0.4297226141159594,School District,San Antonio ISD,1.251319161766923,169.0,91.0,6633.0,0.5721687528389137,98.14285714285714,0.4006761885894236,64.42857142857143,6381.142857142857,687.0,7.0,451.0,65.64774381368268,0.5928719918374828,TX,183.17316441898717,44668.0
13,0.704349789575403,School District,Floresville ISD,2.4212271973466004,212.0,104.0,3209.0,1.4198031036430818,125.0,-0.728023904401196,67.71428571428571,3084.0,875.0,7.0,474.0,54.17142857142857,1.4078105958579374,TX,63.13025084243347,21588.0
14,0.6558237969815246,City,Alvin City,2.2557905337361532,192.0,145.0,4965.0,1.0363363373769228,111.2,0.2539122858000595,82.6,4787.4,556.0,5.0,413.0,74.28057553956835,1.1998443265586032,TX,138.79135419758683,23937.0
15,1.5561881557206099,Comm Ct/Cons/JP,Brewster Comm Ct/Cons/JP,3.9697542533081283,1667.0,525.0,7508.0,1.795610422650455,1130.0,1.5203484798339038,253.33333333333334,3077.3333333333335,3390.0,3.0,760.0,22.418879056047196,1.8260555483891494,TX,3144.7304424315216,9232.0
