loc_prec,,county,,precinct,G18DGOV,G18LGOV,G18RGOV,G18DATG,G18RATG,G18LATG,G18DSecS,G18LSecS,G18RSecS,G18RTRES,G18LTRES
"Faulkner,22 Cypress",,Faulkner,,22 Cypress,133,43,792,148,790,30,162,26,775,806,151
"Faulkner,23 Danley",,Faulkner,,23 Danley,249,25,554,279,536,13,292,17,519,570,236
"Faulkner,24 Mayflower",,Faulkner,,24 Mayflower,184,25,453,207,427,26,207,23,422,460,189
"Faulkner,25 Eagle",,Faulkner,,25 Eagle,135,21,704,158,677,23,172,30,650,700,148
"Faulkner,26 East Fork",,Faulkner,,26 East Fork,174,24,804,187,788,25,208,28,760,828,162
"Faulkner,27 Enola",,Faulkner,,27 Enola,26,8,202,32,195,8,31,8,194,205,30
"Faulkner,28 Hardin",,Faulkner,,28 Hardin,128,19,652,147,625,27,168,18,608,652,128
"Faulkner,29.01 Hardin GB East",,Faulkner,,29.01 Hardin GB East,166,50,703,182,698,38,192,48,675,733,170
"Faulkner,30 Harve",,Faulkner,,30 Harve,59,10,199,60,200,9,63,7,198,219,43
"Faulkner,31 Matthews",,Faulkner,,31 Matthews,41,12,250,35,260,5,39,6,255,267,32
"Faulkner,32 Mountain",,Faulkner,,32 Mountain,11,4,87,15,86,2,15,2,86,93,7
"Faulkner,33 Mt. Vernon",,Faulkner,,33 Mt. Vernon,35,5,143,47,133,2,52,3,127,143,32
"Faulkner,34 Newton",,Faulkner,,34 Newton,46,8,235,55,219,15,66,8,214,228,56
"Faulkner,35 Wilson",,Faulkner,,35 Wilson,70,17,436,83,428,16,86,16,425,430,90
"Faulkner,36 Pine Mt.",,Faulkner,,36 Pine Mt.,383,35,605,435,554,34,452,34,538,635,364
"Faulkner,37 Union",,Faulkner,,37 Union,118,19,581,130,577,11,128,15,572,603,100
"Faulkner,38 Walker",,Faulkner,,38 Walker,82,11,228,101,217,4,97,9,219,242,78
"Faulkner,39 Palarm",,Faulkner,,39 Palarm,226,55,1069,261,1037,42,259,46,1028,1122,207
"Faulkner,41 1C-N",,Faulkner,,41 1C-N,175,9,154,187,131,16,203,8,121,178,149
"Faulkner,42 1C-S",,Faulkner,,42 1C-S,382,41,495,411,464,41,423,45,445,531,356
"Faulkner,43 1E-E",,Faulkner,,43 1E-E,559,39,802,610,743,39,650,36,702,876,476
"Faulkner,44 1E-W",,Faulkner,,44 1E-W,429,18,936,484,862,37,502,27,847,982,361
"Faulkner,45.01 3E",,Faulkner,,45.01 3E,156,13,462,187,420,15,201,13,408,473,134
"Faulkner,46 3C-W",,Faulkner,,46 3C-W,327,10,689,374,625,23,379,26,612,724,259
"Faulkner,48 E Cadron C",,Faulkner,,48 E Cadron C,295,30,557,325,532,23,339,36,502,574,283
"Faulkner,49 2C",,Faulkner,,49 2C,393,32,350,422,318,37,431,41,298,392,355
"Faulkner,50.01 3D",,Faulkner,,50.01 3D,415,33,896,487,813,41,509,36,792,925,388
"Faulkner,53 3F",,Faulkner,,53 3F,203,9,569,235,522,20,249,20,501,594,171
"Faulkner,54 3G",,Faulkner,,54 3G,136,15,245,159,219,16,158,11,218,249,131
"Faulkner,55.01 Hardin GB West",,Faulkner,,55.01 Hardin GB West,82,30,482,96,475,22,107,20,462,501,87
"Franklin,1-A Ozark Wd.1",,Franklin,,1-A Ozark Wd.1,44,13,194,55,183,11,70,9,167,203,39
"Franklin,1-B Ozark Wd. 3",,Franklin,,1-B Ozark Wd. 3,45,10,201,62,185,9,61,6,189,205,51
"Franklin,1-C Ozark Wd.2",,Franklin,,1-C Ozark Wd.2,0,0,24,0,22,1,1,0,22,22,1
"Franklin,2-A Ozark Wd. 2",,Franklin,,2-A Ozark Wd. 2,67,10,259,89,239,8,90,8,235,261,65
"Franklin,2-B Ozark Rural",,Franklin,,2-B Ozark Rural,8,7,62,7,66,5,7,5,65,68,9
"Franklin,2-C Lone Elm/Cravens",,Franklin,,2-C Lone Elm/Cravens,1,0,18,1,18,0,1,0,17,18,1
"Franklin,2-D Wallace/Ivy",,Franklin,,2-D Wallace/Ivy,3,1,35,5,30,2,4,2,32,34,3
"Franklin,2-E Ozark Wd. 3",,Franklin,,2-E Ozark Wd. 3,21,7,103,32,97,3,42,3,86,101,29
"Franklin,3-A Lone Elm/Cravens",,Franklin,,3-A Lone Elm/Cravens,26,4,148,39,137,3,38,3,138,149,26
"Franklin,3-B Fern",,Franklin,,3-B Fern,9,5,49,10,48,4,9,5,49,50,13
"Franklin,3-C Boston",,Franklin,,3-C Boston,29,2,69,29,70,0,30,4,66,72,27
"Franklin,3-D Jethro",,Franklin,,3-D Jethro,18,6,132,22,125,7,21,4,129,137,15
"Franklin,3-E Watalula",,Franklin,,3-E Watalula,7,0,7,6,8,0,4,1,9,10,2
"Franklin,3-F Mountain",,Franklin,,3-F Mountain,11,3,58,9,60,2,13,0,57,61,9
"Franklin,4-A Philpot",,Franklin,,4-A Philpot,33,9,109,35,107,9,41,5,103,120,30
"Franklin,4-B Watalula",,Franklin,,4-B Watalula,16,6,97,12,105,1,21,5,91,102,16
"Franklin,4-C W-V Rural",,Franklin,,4-C W-V Rural,11,0,28,17,20,1,17,0,21,27,10
"Franklin,4-D Ozark Rural",,Franklin,,4-D Ozark Rural,59,9,243,71,230,9,81,5,223,249,61
"Franklin,5-A Wallace/Ivy",,Franklin,,5-A Wallace/Ivy,47,4,224,60,210,5,67,2,207,226,43
"Franklin,5-B Ozark Rural",,Franklin,,5-B Ozark Rural,2,1,20,3,20,0,2,0,21,20,3
"Franklin,5-C Webb City",,Franklin,,5-C Webb City,48,5,286,69,266,2,75,6,254,296,40
"Franklin,6-A Altus Rural",,Franklin,,6-A Altus Rural,29,6,151,43,140,2,53,3,129,153,30
"Franklin,6-B Altus City",,Franklin,,6-B Altus City,38,11,138,49,131,8,57,8,123,147,42
"Franklin,6-C Denning City",,Franklin,,6-C Denning City,15,2,42,17,39,3,19,3,35,38,17
"Franklin,6-D W.V. City",,Franklin,,6-D W.V. City,3,1,20,3,21,0,3,0,21,21,3
"Franklin,7-A Cecil",,Franklin,,7-A Cecil,16,3,82,14,85,2,19,3,79,84,18
"Franklin,7-B Webb City",,Franklin,,7-B Webb City,17,1,105,16,104,2,22,7,91,104,16
"Franklin,7-C Etna",,Franklin,,7-C Etna,31,10,188,37,180,13,45,9,176,193,35
"Franklin,7-D Donald",,Franklin,,7-D Donald,31,6,155,38,148,6,41,4,148,155,32
"Franklin,8-A Branch City",,Franklin,,8-A Branch City,24,4,71,32,64,4,34,5,61,71,27
"Franklin,8-B Charleston Wd. 1",,Franklin,,8-B Charleston Wd. 1,45,5,197,60,177,7,64,3,178,198,44
"Franklin,8-C Charleston Rural",,Franklin,,8-C Charleston Rural,17,5,94,22,89,4,30,2,84,90,24
"Franklin,8-D Vesta",,Franklin,,8-D Vesta,25,6,116,32,113,3,33,3,112,119,26
"Franklin,8-E Donald",,Franklin,,8-E Donald,5,0,18,7,16,0,5,0,18,20,3
"Franklin,8-F Cecil",,Franklin,,8-F Cecil,3,0,13,5,12,0,7,0,10,15,2
"Franklin,8-G Donald",,Franklin,,8-G Donald,2,0,3,3,2,0,2,1,2,4,1
"Franklin,9-A Charleston Wd. 2",,Franklin,,9-A Charleston Wd. 2,43,7,248,67,226,6,78,6,213,255,41
"Franklin,9-B Charleston Wd. 3",,Franklin,,9-B Charleston Wd. 3,52,4,126,62,117,4,65,3,115,132,51
"Franklin,9-C Charleston Rural",,Franklin,,9-C Charleston Rural,15,2,71,18,69,0,21,0,67,76,11
"Fulton,BENTON/UNION",,Fulton,,BENTON/UNION,268,22,608,289,580,29,321,27,542,650,187
"Fulton,CHEROKEE VILLAGE",,Fulton,,CHEROKEE VILLAGE,67,10,220,84,202,8,82,7,205,213,68
"Fulton,CLEVELAND",,Fulton,,CLEVELAND,24,3,104,29,94,7,30,6,93,103,23
"Fulton,FULTON/MT CALM",,Fulton,,FULTON/MT CALM,57,13,289,72,271,9,80,22,248,280,48
"Fulton,MAMMOTH SPRING/AFTON",,Fulton,,MAMMOTH SPRING/AFTON,182,18,554,215,512,25,222,15,514,585,133
"Fulton,MYATT",,Fulton,,MYATT,15,3,52,15,49,6,16,3,51,54,12
"Fulton,PLEASANT RIDGE",,Fulton,,PLEASANT RIDGE,73,8,247,88,234,7,85,7,238,260,61
"Fulton,SOUTHFORK/WILSON",,Fulton,,SOUTHFORK/WILSON,70,6,195,80,184,7,87,6,177,200,52
"Fulton,STRAWBERRY",,Fulton,,STRAWBERRY,55,9,174,51,177,9,64,8,165,185,48
"Fulton,VIDETTE/BIG CREEK",,Fulton,,VIDETTE/BIG CREEK,40,4,221,50,205,9,56,10,197,221,32
"Fulton,WASHINGTON",,Fulton,,WASHINGTON,37,5,101,47,94,2,44,6,90,102,30
"Garland,101",,Garland,,101,359,55,1057,399,1016,52,416,46,1001,1077,368
"Garland,102",,Garland,,102,66,17,287,76,283,12,69,11,291,316,53
"Garland,103",,Garland,,103,0,0,16,1,14,1,1,0,15,15,1
"Garland,104",,Garland,,104,43,4,82,49,78,2,54,2,72,84,40
"Garland,11",,Garland,,11,178,19,341,189,311,22,132,64,287,337,168
"Garland,111",,Garland,,111,35,3,150,38,148,1,37,1,148,150,32
"Garland,112",,Garland,,112,69,5,405,78,393,9,92,12,370,404,69
"Garland,113",,Garland,,113,223,20,600,252,574,25,263,20,563,615,222
"Garland,114",,Garland,,114,384,27,1065,437,1009,30,469,35,964,1084,357
"Garland,115",,Garland,,115,129,8,422,150,402,9,152,8,396,434,109
"Garland,12",,Garland,,12,13,0,6,12,6,0,13,0,6,6,12
"Garland,121",,Garland,,121,132,13,363,145,350,14,141,12,350,378,121
"Garland,122",,Garland,,122,219,30,800,260,757,41,264,23,756,810,233
"Garland,123",,Garland,,123,90,17,372,96,372,10,92,11,377,394,81
"Garland,124",,Garland,,124,0,0,0,0,0,0,0,0,0,0,0
"Garland,125",,Garland,,125,141,7,327,156,308,9,164,9,299,340,109
"Garland,13",,Garland,,13,138,13,287,151,268,18,158,17,258,295,131
"Garland,131",,Garland,,131,64,5,213,75,196,7,76,4,200,217,61
"Garland,132",,Garland,,132,332,29,1123,391,1056,29,388,24,1066,1155,291
"Garland,133",,Garland,,133,127,25,480,143,462,21,138,22,458,484,132
"Garland,134",,Garland,,134,53,9,170,61,158,13,55,12,163,174,54
"Garland,14",,Garland,,14,311,39,761,344,730,36,371,26,708,788,301
"Garland,21",,Garland,,21,593,44,546,663,498,23,667,26,485,592,532
"Garland,22",,Garland,,22,158,10,104,178,89,8,179,10,85,109,142
"Garland,23",,Garland,,23,319,30,727,410,637,26,392,34,653,770,283
"Garland,24",,Garland,,24,304,21,223,333,192,23,346,20,183,229,295
"Garland,31",,Garland,,31,4,2,9,5,9,1,5,0,10,10,5
"Garland,32",,Garland,,32,148,20,342,178,314,15,176,15,310,362,125
"Garland,33",,Garland,,33,138,12,164,155,147,8,150,14,149,172,132
"Garland,34",,Garland,,34,395,33,409,437,367,29,434,28,371,453,358
"Garland,41",,Garland,,41,196,24,286,219,267,16,232,20,249,322,172
"Garland,42",,Garland,,42,314,27,498,342,474,25,344,28,464,542,271
"Garland,43",,Garland,,43,142,4,391,163,365,14,166,10,363,386,141
"Garland,44",,Garland,,44,236,15,520,284,464,21,299,16,451,521,216
"Garland,51",,Garland,,51,80,6,58,85,50,7,85,5,52,62,77
"Garland,52",,Garland,,52,55,5,101,67,89,5,62,4,92,99,57
"Garland,53",,Garland,,53,260,22,595,311,551,18,315,15,542,608,246
"Garland,54",,Garland,,54,399,52,854,456,799,49,461,54,784,912,372
"Garland,61",,Garland,,61,12,0,15,13,13,1,12,0,15,22,4
"Garland,62",,Garland,,62,94,4,243,117,215,9,115,6,216,249,86
"Garland,63",,Garland,,63,77,13,215,79,210,15,82,11,202,220,72
"Garland,64",,Garland,,64,66,7,166,73,155,6,74,4,155,178,56
"Garland,65",,Garland,,65,13,0,38,17,33,2,16,3,32,37,12
"Garland,71",,Garland,,71,184,14,628,229,572,19,232,21,565,631,175
"Garland,72",,Garland,,72,41,4,149,45,146,2,45,7,137,155,35
"Garland,73",,Garland,,73,204,26,696,268,639,14,282,21,616,697,210
"Garland,74",,Garland,,74,220,36,749,263,714,28,263,30,708,758,217
"Garland,81",,Garland,,81,51,10,202,57,202,4,60,5,198,206,57
"Garland,82",,Garland,,82,142,15,434,161,425,8,162,14,418,464,117
"Garland,83",,Garland,,83,297,46,1101,357,1058,37,356,45,1047,1137,290
"Garland,84",,Garland,,84,37,6,164,38,166,3,40,4,162,175,29
"Garland,91",,Garland,,91,67,19,210,72,212,11,79,13,203,219,74
"Garland,92",,Garland,,92,81,16,335,94,324,13,92,6,330,348,78
"Garland,93",,Garland,,93,264,20,820,331,772,15,331,19,763,847,246
"Garland,94",,Garland,,94,108,14,411,134,391,12,133,10,392,422,101
"Garland,95",,Garland,,95,60,11,239,74,230,11,76,13,224,243,67
"Grant,Calvert",,Grant,,Calvert,56,11,420,72,410,8,80,12,398,427,61
"Grant,Darysaw",,Grant,,Darysaw,55,3,151,66,143,1,79,0,130,158,50
"Grant,Davis",,Grant,,Davis,16,5,87,13,93,2,18,1,89,94,12
"Grant,DeKalb 1",,Grant,,DeKalb 1,12,5,64,12,66,4,12,3,66,69,12
"Grant,DeKalb 2",,Grant,,DeKalb 2,35,6,151,41,145,6,48,5,139,146,45
"Grant,Fenter",,Grant,,Fenter,29,6,212,39,200,10,47,7,194,209,39
"Grant,Franklin",,Grant,,Franklin,11,2,74,15,71,2,17,2,68,73,12
"Grant,Madison",,Grant,,Madison,40,3,157,41,154,5,43,7,150,158,41
"Grant,Merry Green 1",,Grant,,Merry Green 1,63,10,385,79,374,6,81,9,367,390,69
"Grant,Merry Green 2",,Grant,,Merry Green 2,57,7,328,73,311,7,67,6,318,345,43
"Grant,River",,Grant,,River,96,11,271,106,264,9,104,10,264,277,98
"Grant,Simpson 1",,Grant,,Simpson 1,62,5,321,64,318,6,71,8,309,329,56
"Grant,Simpson 2",,Grant,,Simpson 2,31,9,233,41,222,9,34,6,231,237,35
"Grant,Tennessee",,Grant,,Tennessee,23,4,156,30,146,5,29,6,146,156,26
"Grant,Ward 1",,Grant,,Ward 1,100,12,422,132,390,11,122,9,403,435,95
"Grant,Ward 2",,Grant,,Ward 2,84,14,360,123,326,9,98,14,343,374,81
"Grant,Ward 3",,Grant,,Ward 3,69,3,307,94,282,6,92,6,284,313,66
"Grant,Washington",,Grant,,Washington,59,11,425,69,411,13,84,13,395,433,59
"Greene,Blue Cane",,Greene,,Blue Cane,1,0,7,1,7,0,1,0,7,6,2
"Greene,Breckenridge",,Greene,,Breckenridge,52,20,182,58,191,6,69,5,180,210,41
"Greene,Bryan",,Greene,,Bryan,11,1,25,12,22,2,10,1,25,29,7
"Greene,Cache",,Greene,,Cache,61,21,317,74,315,10,78,8,314,327,69
"Greene,Clark",,Greene,,Clark,8,3,35,12,33,1,11,2,33,39,7
"Greene,Collier",,Greene,,Collier,23,5,63,25,62,3,29,1,60,66,22
"Greene,Crowley",,Greene,,Crowley,10,8,55,15,53,4,13,4,55,55,17
"Greene,Delaplaine-Jones",,Greene,,Delaplaine-Jones,5,0,22,4,23,0,3,1,23,25,2
"Greene,Evening Shade",,Greene,,Evening Shade,0,0,5,2,3,0,2,0,3,4,1
"Greene,Friendship",,Greene,,Friendship,54,15,237,64,242,1,66,12,228,257,47
"Greene,Hays",,Greene,,Hays,2,2,24,2,23,1,5,1,22,23,4
"Greene,Hopewell",,Greene,,Hopewell,15,9,75,14,83,3,15,4,81,88,13
"Greene,Hurricane",,Greene,,Hurricane,31,12,140,44,132,6,54,7,121,141,38
"Greene,Jones",,Greene,,Jones,19,2,43,19,43,2,20,4,40,45,18
"Greene,Lafe-Breckenridge",,Greene,,Lafe-Breckenridge,20,1,71,22,65,4,32,5,56,67,21
"Greene,Lake",,Greene,,Lake,10,1,34,10,34,1,12,2,31,39,6
"Greene,Mainshore",,Greene,,Mainshore,15,1,44,18,40,1,21,1,37,49,11
"Greene,Marmaduke-Hurricane",,Greene,,Marmaduke-Hurricane,44,19,197,68,179,10,74,8,173,202,53
"Greene,Oak Grove-Union",,Greene,,Oak Grove-Union,46,24,200,53,210,9,59,12,200,216,54
"Greene,Poland",,Greene,,Poland,57,27,401,76,400,8,76,19,391,418,65
"Greene,Reynolds",,Greene,,Reynolds,6,1,8,6,10,0,6,0,10,10,4
"Greene,Salem",,Greene,,Salem,40,10,197,46,197,4,47,4,194,206,39
"Greene,Shady Grove",,Greene,,Shady Grove,4,0,22,4,21,1,4,0,22,23,2
"Greene,Spring Grove",,Greene,,Spring Grove,41,14,203,48,200,8,42,9,206,218,36
"Greene,St. Francis",,Greene,,St. Francis,35,13,262,41,254,14,40,7,260,271,34
"Greene,Sugar Creek",,Greene,,Sugar Creek,44,16,188,55,191,5,61,6,184,205,43
"Greene,Union",,Greene,,Union,61,35,389,87,383,12,91,15,376,411,69
"Greene,Walnut Corner",,Greene,,Walnut Corner,6,2,7,4,8,2,4,2,9,10,4
"Greene,Ward 1",,Greene,,Ward 1,199,38,747,224,735,23,235,19,721,828,148
"Greene,Ward 1A",,Greene,,Ward 1A,222,52,774,276,744,27,289,29,728,828,211
"Greene,Ward 2",,Greene,,Ward 2,293,58,854,350,823,29,371,25,801,920,267
"Greene,Ward 2A",,Greene,,Ward 2A,111,37,440,119,455,16,124,15,447,482,102
"Greene,Ward 3",,Greene,,Ward 3,162,25,426,196,411,10,213,11,386,437,170
"Greene,Ward 3A",,Greene,,Ward 3A,0,0,0,0,0,0,0,0,0,0,0
"Greene,Ward 4",,Greene,,Ward 4,231,68,953,266,955,36,280,30,946,1069,177
"Greene,Ward 4A",,Greene,,Ward 4A,147,49,621,179,610,23,188,23,603,680,123
"Greene,Ward 4B",,Greene,,Ward 4B,2,1,7,2,8,0,2,1,7,7,3
"Greene,Ward 4C",,Greene,,Ward 4C,0,0,0,0,0,0,0,0,0,0,0
"Hempstead,Bingen",,Hempstead,,Bingen,45,6,199,48,197,4,49,4,197,218,30
"Hempstead,Blevins",,Hempstead,,Blevins,42,5,197,45,193,2,42,7,193,205,35
"Hempstead,Columbus",,Hempstead,,Columbus,38,1,41,41,36,2,44,1,33,43,33
"Hempstead,Crossroads",,Hempstead,,Crossroads,21,0,69,24,65,1,22,1,67,69,17
"Hempstead,Deann",,Hempstead,,Deann,32,3,137,32,134,6,33,5,134,137,33
"Hempstead,Fulton",,Hempstead,,Fulton,84,1,66,86,61,4,85,1,65,77,66
"Hempstead,Guernsey",,Hempstead,,Guernsey,30,2,79,30,78,2,32,2,77,85,24
"Hempstead,Hope 1",,Hempstead,,Hope 1,242,9,185,255,174,5,255,8,169,221,185
"Hempstead,Hope 2",,Hempstead,,Hope 2,193,7,54,201,42,7,207,3,42,80,152
"Hempstead,Hope 3",,Hempstead,,Hope 3,87,5,235,100,225,3,98,5,226,253,70
"Hempstead,Hope 4",,Hempstead,,Hope 4,153,4,50,167,38,1,167,1,37,64,123
"Hempstead,Hope 5",,Hempstead,,Hope 5,136,9,252,165,231,2,158,7,231,273,114
"Hempstead,Hope 6",,Hempstead,,Hope 6,26,3,153,34,147,1,31,2,148,154,25
"Hempstead,Hope 7",,Hempstead,,Hope 7,69,9,336,79,327,7,80,5,327,350,60
"Hempstead,McCaskill",,Hempstead,,McCaskill,33,7,146,36,148,4,38,3,145,154,33
"Hempstead,McNab",,Hempstead,,McNab,15,0,13,16,12,0,14,0,14,15,12
"Hempstead,Ozan",,Hempstead,,Ozan,88,6,94,95,87,5,101,3,84,102,75
"Hempstead,Patmos",,Hempstead,,Patmos,26,2,111,24,113,2,24,2,113,116,23
"Hempstead,Perrytown",,Hempstead,,Perrytown,20,2,109,21,108,1,19,2,109,110,18
"Hempstead,Rocky Mound",,Hempstead,,Rocky Mound,33,1,115,38,110,3,38,3,110,121,24
"Hempstead,Saratoga",,Hempstead,,Saratoga,25,2,69,29,66,0,24,2,70,75,19
"Hempstead,Shover Springs",,Hempstead,,Shover Springs,26,5,153,30,148,3,33,0,150,159,23
"Hempstead,Spring Hill",,Hempstead,,Spring Hill,36,14,392,51,383,8,45,10,386,403,36
"Hempstead,Washington",,Hempstead,,Washington,54,2,57,61,52,1,60,1,53,56,51
"Hot Spring,Antioch",,Hot Spring,,Antioch,15,7,90,14,94,4,22,4,86,94,18
"Hot Spring,Big Creek",,Hot Spring,,Big Creek,16,2,133,15,136,1,21,0,130,140,13
"Hot Spring,Bismarck",,Hot Spring,,Bismarck,161,26,520,181,503,21,187,23,497,553,144
"Hot Spring,Brown Springs",,Hot Spring,,Brown Springs,9,0,48,9,47,1,11,0,46,48,9
"Hot Spring,Butterfield",,Hot Spring,,Butterfield,56,7,214,59,211,8,75,3,199,225,52
"Hot Spring,Central",,Hot Spring,,Central,70,12,209,75,208,8,79,6,205,228,61
"Hot Spring,Clear Creek",,Hot Spring,,Clear Creek,22,3,91,24,87,5,28,3,85,96,19
"Hot Spring,DeRoche",,Hot Spring,,DeRoche,91,13,338,108,322,13,121,10,315,350,90
"Hot Spring,Donaldson City",,Hot Spring,,Donaldson City,5,2,53,8,51,2,10,2,49,54,6
"Hot Spring,Dover",,Hot Spring,,Dover,26,6,200,31,192,9,42,7,182,203,24
"Hot Spring,Fenter A",,Hot Spring,,Fenter A,82,12,259,86,255,10,95,9,247,274,75
"Hot Spring,Fenter B",,Hot Spring,,Fenter B,61,5,222,71,212,4,74,3,210,222,63
"Hot Spring,Fenter C",,Hot Spring,,Fenter C,55,1,12,59,9,0,61,0,7,20,46
"Hot Spring,Friendship",,Hot Spring,,Friendship,7,0,37,7,37,0,7,2,35,35,9
"Hot Spring,Gifford",,Hot Spring,,Gifford,64,10,271,60,276,10,69,7,268,284,58
"Hot Spring,Glen Rose",,Hot Spring,,Glen Rose,66,17,433,85,417,13,89,13,415,438,73
"Hot Spring,Harrison",,Hot Spring,,Harrison,14,6,60,12,64,4,16,4,60,69,10
"Hot Spring,Henderson",,Hot Spring,,Henderson,32,5,159,43,152,3,44,1,153,164,30
"Hot Spring,Lone Hill",,Hot Spring,,Lone Hill,41,7,187,46,184,5,47,4,184,193,40
"Hot Spring,Magnet",,Hot Spring,,Magnet,155,25,749,180,723,26,182,24,719,774,150
"Hot Spring,Midway City",,Hot Spring,,Midway City,11,2,93,7,97,2,11,1,94,96,10
"Hot Spring,Montgomery",,Hot Spring,,Montgomery,76,16,285,85,280,12,91,14,270,295,76
"Hot Spring,Ouachita",,Hot Spring,,Ouachita,12,5,67,17,65,2,14,0,70,74,9
"Hot Spring,Perla City",,Hot Spring,,Perla City,33,1,11,35,8,2,38,0,7,13,31
"Hot Spring,Prairie",,Hot Spring,,Prairie,28,1,126,31,122,1,26,4,124,131,22
"Hot Spring,Rockport",,Hot Spring,,Rockport,43,6,179,43,180,4,46,7,172,186,39
"Hot Spring,Valley",,Hot Spring,,Valley,23,7,156,30,155,3,29,8,148,162,24
"Hot Spring,Ward 1",,Hot Spring,,Ward 1,226,13,211,257,178,14,264,11,178,215,220
"Hot Spring,Ward 2",,Hot Spring,,Ward 2,198,17,429,229,398,16,232,14,394,447,182
"Hot Spring,Ward 3",,Hot Spring,,Ward 3,135,12,287,151,265,17,161,13,258,304,129
"Hot Spring,Ward 4",,Hot Spring,,Ward 4,280,12,239,316,208,8,318,11,206,273,236
"Howard,Blackland",,Howard,,Blackland,11,0,28,12,26,2,14,0,25,26,14
"Howard,Blue Bayou",,Howard,,Blue Bayou,5,1,30,6,29,0,6,0,30,32,3
"Howard,Blue Ridge",,Howard,,Blue Ridge,7,0,43,10,41,1,12,0,40,46,6
"Howard,Brewer",,Howard,,Brewer,18,3,108,24,102,3,19,2,108,113,15
"Howard,Buck Range",,Howard,,Buck Range,40,1,47,43,45,1,41,1,47,53,34
"Howard,Burg",,Howard,,Burg,2,0,19,3,18,0,3,0,18,19,2
"Howard,Center Point 1",,Howard,,Center Point 1,26,0,78,25,75,3,30,0,74,80,24
"Howard,Center Point 2",,Howard,,Center Point 2,5,0,53,8,50,0,10,1,46,52,4
"Howard,Clay",,Howard,,Clay,5,1,33,5,33,1,7,2,30,33,5
"Howard,County Line",,Howard,,County Line,19,6,154,22,155,2,24,2,151,158,19
"Howard,Dierks Ward 1",,Howard,,Dierks Ward 1,12,1,52,16,49,0,16,0,49,53,10
"Howard,Dierks Ward 2",,Howard,,Dierks Ward 2,3,0,40,5,38,0,3,1,39,39,4
"Howard,Dierks Ward 3",,Howard,,Dierks Ward 3,7,0,112,12,103,1,16,0,100,109,7
"Howard,Dillard",,Howard,,Dillard,5,3,71,6,71,2,8,1,70,73,5
"Howard,Duckett",,Howard,,Duckett,3,1,19,4,19,0,3,0,20,20,3
"Howard,Franklin",,Howard,,Franklin,28,0,19,29,16,2,31,0,16,23,21
"Howard,Holly Creek",,Howard,,Holly Creek,6,0,72,6,71,0,7,0,70,71,6
"Howard,Madison",,Howard,,Madison,6,1,117,7,117,0,7,0,117,119,5
"Howard,Mineral Spring 3",,Howard,,Mineral Spring 3,54,2,36,53,37,2,54,4,33,48,42
"Howard,Mineral Springs 1",,Howard,,Mineral Springs 1,52,3,14,50,11,6,56,2,10,14,54
"Howard,Mineral Springs 2",,Howard,,Mineral Springs 2,42,0,70,52,60,0,51,2,59,69,41
"Howard,Mineral Springs TWP",,Howard,,Mineral Springs TWP,9,0,16,9,16,1,8,1,17,17,9
"Howard,Mountain",,Howard,,Mountain,4,3,52,2,56,1,3,0,56,58,1
"Howard,Muddy Fork",,Howard,,Muddy Fork,3,0,41,3,41,0,4,0,40,41,2
"Howard,Nashville TWP II",,Howard,,Nashville TWP II,26,4,115,28,115,2,27,5,114,127,18
"Howard,Nashville Twp 1",,Howard,,Nashville Twp 1,53,6,312,64,303,3,67,3,299,335,32
"Howard,Nashville Ward 1",,Howard,,Nashville Ward 1,49,5,176,70,161,0,65,5,159,184,43
"Howard,Nashville Ward 2",,Howard,,Nashville Ward 2,50,1,54,51,50,3,53,2,49,58,44
"Howard,Nashville Ward 3",,Howard,,Nashville Ward 3,103,4,36,113,27,2,112,0,30,47,90
"Howard,Nashville Ward 5",,Howard,,Nashville Ward 5,64,2,140,74,129,5,68,5,133,150,48
"Howard,Nashville Ward 6",,Howard,,Nashville Ward 6,70,3,144,79,133,5,76,5,135,154,55
"Howard,Nashville ward 4",,Howard,,Nashville ward 4,46,0,58,47,54,3,50,2,52,62,38
"Howard,Saline",,Howard,,Saline,16,1,37,14,40,0,14,1,39,40,12
"Howard,Saratoga",,Howard,,Saratoga,36,1,22,39,20,0,38,1,21,25,32
"Howard,Tollette",,Howard,,Tollette,86,2,3,88,1,2,91,1,2,11,67
"Howard,Umpire",,Howard,,Umpire,3,1,68,6,65,1,7,1,64,65,7
"Independence,Ashley",,Independence,,Ashley,42,19,263,44,270,9,47,11,258,269,52
"Independence,Barren",,Independence,,Barren,77,19,389,82,388,16,92,11,381,401,81
"Independence,Big Bottom Wards 1,2,3",,Independence,,"Big Bottom Wards 1,2,3",41,24,194,51,199,9,56,8,193,213,44
"Independence,Big Bottom Wycough Logan",,Independence,,Big Bottom Wycough Logan,31,7,169,28,175,4,35,4,168,187,19
"Independence,Black River/Marshall",,Independence,,Black River/Marshall,11,3,71,11,71,1,10,1,72,77,7
"Independence,Cushman/Union",,Independence,,Cushman/Union,54,23,285,58,294,9,74,14,270,295,65
"Independence,Departee",,Independence,,Departee,11,0,42,11,40,1,14,1,38,44,8
"Independence,Dota",,Independence,,Dota,61,14,222,66,225,5,72,6,218,241,52
"Independence,Fairview",,Independence,,Fairview,39,9,269,41,268,8,58,6,253,266,48
"Independence,Gainsboro",,Independence,,Gainsboro,42,19,216,45,221,12,60,13,203,233,42
