loc_prec,,county,,precinct,G18DGOV,G18LGOV,G18RGOV,G18DATG,G18RATG,G18LATG,G18DSecS,G18LSecS,G18RSecS,G18RTRES,G18LTRES
"Ashley,PORTLAND RURAL",,Ashley,,PORTLAND RURAL,10,1,21,12,19,1,14,0,18,20,11
"Ashley,SNY/TRA",,Ashley,,SNY/TRA,1,1,24,4,22,0,4,1,21,24,2
"Ashley,VOTECH",,Ashley,,VOTECH,54,9,161,55,168,2,62,1,162,171,53
"Ashley,WCR",,Ashley,,WCR,125,8,279,135,272,2,140,2,270,291,109
"Ashley,WILMOT CITY",,Ashley,,WILMOT CITY,115,0,38,119,34,2,118,3,32,49,97
"Ashley,WILMOT RURAL",,Ashley,,WILMOT RURAL,12,1,35,11,36,0,14,0,34,38,10
"Baxter,1-Apr",,Baxter,,4-1b,184,39,676,212,648,37,224,35,639,700,171
"Baxter,1-Aug",,Baxter,,8-1b,168,29,675,186,668,18,190,19,661,704,135
"Baxter,1-Feb",,Baxter,,2-1b,82,27,355,94,345,25,89,19,356,367,82
"Baxter,1-Jan",,Baxter,,1-1b,72,25,460,85,455,16,99,11,445,471,70
"Baxter,1-Jul",,Baxter,,7-1b,178,27,599,199,586,21,190,21,590,623,140
"Baxter,1-Jun",,Baxter,,6-1b,161,26,576,188,538,28,195,29,527,594,131
"Baxter,1-Mar",,Baxter,,3-1b,53,16,236,61,234,10,66,14,225,239,48
"Baxter,1-May",,Baxter,,5-1b,101,21,281,113,274,14,115,13,273,288,90
"Baxter,1-Nov",,Baxter,,11-1b,40,10,113,49,105,9,54,11,99,109,42
"Baxter,1-Oct",,Baxter,,10-1b,69,18,228,79,218,16,79,17,215,233,66
"Baxter,1-Sep",,Baxter,,9-1b,130,24,476,127,486,15,132,19,477,501,102
"Baxter,2-Apr",,Baxter,,4-2b,86,15,282,96,276,11,99,12,271,285,80
"Baxter,2-Aug",,Baxter,,8-2b,21,10,86,22,87,9,23,8,86,87,21
"Baxter,2-Feb",,Baxter,,2-2b,78,20,384,84,382,18,90,18,373,391,75
"Baxter,2-Jan",,Baxter,,1-2b,97,19,439,113,428,15,116,14,426,443,95
"Baxter,2-Jul",,Baxter,,7-2b,73,17,256,84,250,9,82,13,248,258,70
"Baxter,2-Jun",,Baxter,,6-2b,68,17,327,85,317,10,83,13,316,336,59
"Baxter,2-Mar",,Baxter,,3-2b,41,12,168,44,170,6,45,10,165,173,35
"Baxter,2-May",,Baxter,,5-2b,107,16,229,111,227,12,113,17,220,234,92
"Baxter,2-Nov",,Baxter,,11-2b,102,25,325,106,325,24,107,23,325,345,94
"Baxter,2-Oct",,Baxter,,10-2b,100,27,326,100,326,27,105,26,321,347,92
"Baxter,2-Sep",,Baxter,,9-2b,136,21,442,151,433,15,146,14,439,462,115
"Baxter,3-Aug",,Baxter,,8-3b,27,9,80,24,87,5,26,8,81,85,22
"Baxter,3-Feb",,Baxter,,2-3b,68,16,241,72,243,11,72,12,241,253,60
"Baxter,3-Jan",,Baxter,,1-3b,81,15,273,91,267,10,96,14,257,286,69
"Baxter,3-Jul",,Baxter,,7-3b,55,9,142,56,147,7,63,7,138,151,44
"Baxter,3-Jun",,Baxter,,6-3b,40,13,151,41,150,12,41,13,149,152,38
"Baxter,3-Mar",,Baxter,,3-3b,147,27,495,152,486,29,165,24,479,512,133
"Baxter,3-May",,Baxter,,5-3b,12,8,21,10,25,5,13,6,22,21,11
"Baxter,3-Nov",,Baxter,,11-3b,62,12,221,66,217,11,69,10,212,231,49
"Baxter,3-Oct",,Baxter,,10-3b,40,8,189,47,177,9,54,10,169,185,38
"Baxter,3-Sep",,Baxter,,9-3b,13,11,61,16,62,7,15,9,61,63,15
"Baxter,4-Aug",,Baxter,,8-4b,55,11,164,53,154,11,55,11,149,162,45
"Baxter,4-Mar",,Baxter,,3-4b,31,9,132,34,130,8,40,9,123,132,34
"Baxter,4-May",,Baxter,,5-4b,51,9,126,55,119,9,62,8,114,127,43
"Baxter,4-Nov",,Baxter,,11-4b,21,8,53,24,53,5,28,7,47,54,20
"Baxter,4-Sep",,Baxter,,9-4b,33,12,125,34,126,10,41,10,119,133,29
"Baxter,5-Aug",,Baxter,,8-5b,20,7,33,21,34,4,24,6,29,34,19
"Baxter,5-Nov",,Baxter,,11-5b,7,7,5,5,11,4,7,6,7,8,5
"Baxter,6-Nov",,Baxter,,11-6b,7,6,19,7,21,4,8,7,17,17,9
"Baxter,7-Nov",,Baxter,,11-7b,6,6,35,6,36,4,6,7,32,33,6
"Baxter,8-Nov",,Baxter,,11-8b,10,6,39,11,39,5,14,8,32,37,12
"Baxter,9-Nov",,Baxter,,11-9b,45,9,150,44,152,8,48,8,148,156,33
"Benton,Precinct 1",,Benton,,Precinct 1,122,33,807,137,786,38,153,30,773,809,138
"Benton,Precinct 10",,Benton,,Precinct 10,112,12,447,119,439,8,132,11,430,463,101
"Benton,Precinct 100",,Benton,,Precinct 100,184,21,373,195,357,26,197,22,355,410,158
"Benton,Precinct 101",,Benton,,Precinct 101,86,13,303,109,274,15,114,18,265,296,93
"Benton,Precinct 102",,Benton,,Precinct 102,149,17,369,164,346,22,168,18,345,372,144
"Benton,Precinct 103",,Benton,,Precinct 103,165,13,364,174,347,20,182,19,339,380,147
"Benton,Precinct 104",,Benton,,Precinct 104,156,10,260,160,246,17,168,16,238,284,130
"Benton,Precinct 105",,Benton,,Precinct 105,265,10,540,290,498,21,292,18,497,561,231
"Benton,Precinct 106",,Benton,,Precinct 106,195,8,508,212,481,12,217,12,473,541,145
"Benton,Precinct 107",,Benton,,Precinct 107,231,13,699,263,644,32,263,24,651,736,196
"Benton,Precinct 108",,Benton,,Precinct 108,209,20,308,213,293,24,228,15,290,331,190
"Benton,Precinct 109",,Benton,,Precinct 109,131,21,600,157,543,48,154,38,550,592,146
"Benton,Precinct 11",,Benton,,Precinct 11,191,21,596,197,583,23,226,31,546,601,196
"Benton,Precinct 110",,Benton,,Precinct 110,154,9,417,180,380,15,180,10,387,423,140
"Benton,Precinct 111",,Benton,,Precinct 111,136,5,366,146,344,16,153,13,334,377,119
"Benton,Precinct 112",,Benton,,Precinct 112,205,21,715,226,689,22,230,20,683,739,178
"Benton,Precinct 113",,Benton,,Precinct 113,169,17,299,193,271,17,190,19,269,315,148
"Benton,Precinct 114",,Benton,,Precinct 114,127,5,447,141,418,18,151,13,415,453,113
"Benton,Precinct 115",,Benton,,Precinct 115,223,15,322,247,292,22,252,20,284,347,199
"Benton,Precinct 116",,Benton,,Precinct 116,215,18,298,220,285,25,233,23,274,321,194
"Benton,Precinct 117",,Benton,,Precinct 117,138,15,419,144,401,25,161,18,389,435,124
"Benton,Precinct 12",,Benton,,Precinct 12,178,29,592,210,536,51,215,38,541,576,210
"Benton,Precinct 13",,Benton,,Precinct 13,171,15,466,182,453,18,176,21,452,468,162
"Benton,Precinct 14",,Benton,,Precinct 14,147,30,593,163,571,32,160,38,560,589,161
"Benton,Precinct 15",,Benton,,Precinct 15,48,8,255,60,242,8,62,7,238,247,54
"Benton,Precinct 16",,Benton,,Precinct 16,51,13,319,63,314,8,65,11,306,321,55
"Benton,Precinct 17",,Benton,,Precinct 17,59,13,266,66,265,9,64,13,262,273,61
"Benton,Precinct 18",,Benton,,Precinct 18,180,11,567,208,534,15,207,17,531,597,148
"Benton,Precinct 19",,Benton,,Precinct 19,74,7,331,90,312,10,90,11,308,335,72
"Benton,Precinct 2",,Benton,,Precinct 2,32,9,201,33,199,9,42,8,189,196,42
"Benton,Precinct 20",,Benton,,Precinct 20,120,13,305,119,301,19,131,14,290,316,114
"Benton,Precinct 21",,Benton,,Precinct 21,263,29,828,298,782,32,327,35,749,836,242
"Benton,Precinct 22",,Benton,,Precinct 22,162,7,291,176,271,12,183,14,260,315,137
"Benton,Precinct 23",,Benton,,Precinct 23,94,17,396,101,385,19,105,18,380,394,102
"Benton,Precinct 24",,Benton,,Precinct 24,240,13,886,288,818,30,303,30,800,875,232
"Benton,Precinct 25",,Benton,,Precinct 25,246,15,787,277,752,18,293,24,722,794,232
"Benton,Precinct 26",,Benton,,Precinct 26,185,14,326,199,304,19,200,17,301,339,167
"Benton,Precinct 27",,Benton,,Precinct 27,192,10,570,214,523,31,216,23,527,580,172
"Benton,Precinct 28",,Benton,,Precinct 28,293,18,594,297,564,39,328,29,546,611,266
"Benton,Precinct 29",,Benton,,Precinct 29,312,23,664,327,636,35,347,28,624,688,278
"Benton,Precinct 3",,Benton,,Precinct 3,287,25,347,311,312,35,308,39,308,371,267
"Benton,Precinct 30",,Benton,,Precinct 30,317,25,632,338,599,35,343,39,587,652,290
"Benton,Precinct 31",,Benton,,Precinct 31,209,22,596,215,583,24,234,17,569,629,177
"Benton,Precinct 32",,Benton,,Precinct 32,330,18,451,340,409,36,343,28,410,497,262
"Benton,Precinct 33",,Benton,,Precinct 33,210,28,798,224,777,33,244,35,750,821,206
"Benton,Precinct 34",,Benton,,Precinct 34,328,29,801,366,757,31,389,37,719,848,271
"Benton,Precinct 35",,Benton,,Precinct 35,182,20,462,198,441,24,195,21,445,478,172
"Benton,Precinct 36",,Benton,,Precinct 36,162,16,298,179,277,19,193,19,262,315,142
"Benton,Precinct 37",,Benton,,Precinct 37,308,24,348,319,315,37,336,24,309,401,248
"Benton,Precinct 38",,Benton,,Precinct 38,240,22,385,247,358,38,265,26,350,399,231
"Benton,Precinct 39",,Benton,,Precinct 39,219,20,356,238,331,25,228,24,339,398,186
"Benton,Precinct 4",,Benton,,Precinct 4,374,45,1166,406,1118,61,426,48,1101,1194,365
"Benton,Precinct 40",,Benton,,Precinct 40,232,14,421,252,397,16,256,23,383,438,214
"Benton,Precinct 42",,Benton,,Precinct 42,269,35,572,280,558,35,290,37,541,600,251
