precinct,votes american independents US House,votes conservative US House,votes constitution US House,G18DHOR,votes financial independence US House,votes for political revolution US House,votes green US House,votes independent US House,G18LHOR,votes make government work US House,votes new beginnings US House,votes nonpartisan US House,votes nsa did 911 US House,votes people's independent progressive US House,votes representing the 99% US House,G18RHOR,votes wake up america US House,votes we deserve better US House,votes women of power US House
"Atlantic County,Egg Harbor City 2-3",0.0,0.0,0.0,137.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,108.0,0.0,0.0,0.0
"Atlantic County,Egg Harbor City hand",0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Atlantic County,Egg Harbor Twp",0.0,0.0,0.0,653.0,0.0,4.0,0.0,0.0,30.0,22.0,0.0,0.0,0.0,7.0,18.0,934.0,0.0,0.0,0.0
"Atlantic County,Egg Harbor Twp D-1",0.0,0.0,0.0,191.0,0.0,2.0,0.0,0.0,13.0,3.0,0.0,0.0,0.0,1.0,7.0,500.0,0.0,0.0,0.0
"Atlantic County,Egg Harbor Twp D-10",0.0,0.0,0.0,445.0,0.0,5.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,3.0,7.0,392.0,0.0,0.0,0.0
"Atlantic County,Egg Harbor Twp D-11",0.0,0.0,0.0,444.0,0.0,4.0,0.0,0.0,11.0,14.0,0.0,0.0,0.0,4.0,8.0,478.0,0.0,0.0,0.0
"Atlantic County,Egg Harbor Twp D-12",0.0,0.0,0.0,252.0,0.0,2.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,2.0,1.0,161.0,0.0,0.0,0.0
"Atlantic County,Egg Harbor Twp D-13",0.0,0.0,0.0,138.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,95.0,0.0,0.0,0.0
"Atlantic County,Egg Harbor Twp D-14",0.0,0.0,0.0,191.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,89.0,0.0,0.0,0.0
"Atlantic County,Egg Harbor Twp D-15",0.0,0.0,0.0,307.0,0.0,2.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,3.0,2.0,230.0,0.0,0.0,0.0
"Atlantic County,Egg Harbor Twp D-16",0.0,0.0,0.0,366.0,0.0,4.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,3.0,7.0,249.0,0.0,0.0,0.0
"Atlantic County,Egg Harbor Twp D-17",0.0,0.0,0.0,403.0,0.0,2.0,0.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,5.0,627.0,0.0,0.0,0.0
"Atlantic County,Egg Harbor Twp D-18",0.0,0.0,0.0,219.0,0.0,4.0,0.0,0.0,19.0,5.0,0.0,0.0,0.0,1.0,5.0,599.0,0.0,0.0,0.0
"Atlantic County,Egg Harbor Twp D-19",0.0,0.0,0.0,357.0,0.0,2.0,0.0,0.0,9.0,8.0,0.0,0.0,0.0,0.0,6.0,556.0,0.0,0.0,0.0
"Atlantic County,Egg Harbor Twp D-2",0.0,0.0,0.0,267.0,0.0,9.0,0.0,0.0,12.0,10.0,0.0,0.0,0.0,2.0,11.0,522.0,0.0,0.0,0.0
"Atlantic County,Egg Harbor Twp D-20",0.0,0.0,0.0,404.0,0.0,10.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,1.0,6.0,379.0,0.0,0.0,0.0
"Atlantic County,Egg Harbor Twp D-21",0.0,0.0,0.0,313.0,0.0,8.0,0.0,0.0,18.0,20.0,0.0,0.0,0.0,0.0,7.0,703.0,0.0,0.0,0.0
"Atlantic County,Egg Harbor Twp D-22",0.0,0.0,0.0,212.0,0.0,2.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,3.0,421.0,0.0,0.0,0.0
