,COUNTYFP,precinct,shp_loc_prec,STATEFP,VTDST,NAMELSAD,VTDI,LSAD,CHNG_TYPE,ORIG_NAME,ORIG_CODE,RELATE,NAME,VINTAGE,FUNCSTAT,JUSTIFY,MTFCC,prec_matching,prec_word1,shp_loc_prec_nums,shp_loc_prec_code
5029,029,dover township voting district 1,"029,dover township voting district 1",34,035001,Dover township voting district 1,A,00,,,,,Dover township voting district 1,90,N,,G5240,dover township voting district 1,dover,0291,0291_dover
5030,029,brick township voting district 9,"029,brick township voting district 9",34,030009,Brick township voting district 9,A,00,,,,,Brick township voting district 9,90,N,,G5240,brick township voting district 9,brick,0299,0299_brick
5031,029,brick township voting district 8,"029,brick township voting district 8",34,030008,Brick township voting district 8,A,00,,,,,Brick township voting district 8,90,N,,G5240,brick township voting district 8,brick,0298,0298_brick
5032,029,brick township voting district 7,"029,brick township voting district 7",34,030007,Brick township voting district 7,A,00,,,,,Brick township voting district 7,90,N,,G5240,brick township voting district 7,brick,0297,0297_brick
5033,029,brick township voting district 6,"029,brick township voting district 6",34,030006,Brick township voting district 6,A,00,,,,,Brick township voting district 6,90,N,,G5240,brick township voting district 6,brick,0296,0296_brick
5034,029,brick township voting district 55,"029,brick township voting district 55",34,030055,Brick township voting district 55,A,00,,,,,Brick township voting district 55,90,N,,G5240,brick township voting district 55,brick,02955,02955_brick
5035,029,brick township voting district 54,"029,brick township voting district 54",34,030054,Brick township voting district 54,A,00,,,,,Brick township voting district 54,90,N,,G5240,brick township voting district 54,brick,02954,02954_brick
5036,029,brick township voting district 53,"029,brick township voting district 53",34,030053,Brick township voting district 53,A,00,,,,,Brick township voting district 53,90,N,,G5240,brick township voting district 53,brick,02953,02953_brick
5037,029,brick township voting district 52,"029,brick township voting district 52",34,030052,Brick township voting district 52,A,00,,,,,Brick township voting district 52,90,N,,G5240,brick township voting district 52,brick,02952,02952_brick
5038,029,brick township voting district 51,"029,brick township voting district 51",34,030051,Brick township voting district 51,A,00,,,,,Brick township voting district 51,90,N,,G5240,brick township voting district 51,brick,02951,02951_brick
5039,029,brick township voting district 50,"029,brick township voting district 50",34,030050,Brick township voting district 50,A,00,,,,,Brick township voting district 50,90,N,,G5240,brick township voting district 50,brick,02950,02950_brick
5040,029,brick township voting district 49,"029,brick township voting district 49",34,030049,Brick township voting district 49,A,00,,,,,Brick township voting district 49,90,N,,G5240,brick township voting district 49,brick,02949,02949_brick
5041,029,brick township voting district 48,"029,brick township voting district 48",34,030048,Brick township voting district 48,A,00,,,,,Brick township voting district 48,90,N,,G5240,brick township voting district 48,brick,02948,02948_brick
5042,029,brick township voting district 47,"029,brick township voting district 47",34,030047,Brick township voting district 47,A,00,,,,,Brick township voting district 47,90,N,,G5240,brick township voting district 47,brick,02947,02947_brick
